Genre,Number of Reviews,Rating,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
Education,1796,4.6,5.0,7.0,0.0,0.0,3,5,6,2019,50000,5.0,0
Social,287841,4.3,18.0,1.0,0.0,0.0,18,6,18,2020,10000000,5.0,1
Education,748,4.5,7.5,0.0,0.0,0.0,3,3,3,2020,10000,4.4,4
Education,731,3.9,8.8,3.0,0.0,0.0,3,6,19,2020,10000,4.4,0
Education,10,4.3,12.0,1.0,99.0,699.0,3,5,12,2020,1000,4.4W,3
Education,1370,3.8,10.0,2.0,0.0,0.0,3,6,18,2020,100000,4.4,4
Personalization,6,4.3,5.1,1.0,0.0,0.0,3,2,7,2020,1000,4.4,0
Role Playing,33968,4.4,81.0,1.0,85.0,8700.0,7,6,24,2020,1000000,4.4,1
Strategy,367031,3.9,78.0,2.0,320.0,6800.0,12,7,19,2019,5000000,4.1,3
Education,169,3.7,43.0,2.0,520.0,4350.0,3,6,20,2019,10000,4.1,0
Finance,345,4.4,14.0,1.0,0.0,0.0,3,6,13,2020,10000,5.0,0
Education,36,4.5,-1.0,-1.0,0.0,0.0,3,5,27,2020,10000,-1,0
Sports,602449,3.7,-1.0,-1.0,65.0,6700.0,3,6,25,2020,50000000,5.0,3
News & Magazines,1248705,4.2,-1.0,-1.0,0.0,0.0,12,5,30,2020,100000000,-1,1
Finance,75,3.5,21.0,2.0,0.0,0.0,3,5,26,2020,10000,4.4,3
Productivity,1561286,4.2,-1.0,-1.0,59.82,6200.0,3,6,11,2020,100000000,-1,3
Music & Audio,16,4.9,98.0,1.0,0.0,0.0,16,3,2,2020,1000,4.0.3,0
Communication,376699,4.5,26.0,2.0,10.0,8400.0,3,6,24,2020,10000000,4.1,0
Education,291,4.0,4.2,6.0,0.0,0.0,3,4,18,2018,50000,4.0,0
Social,100708752,4.2,-1.0,276.0,65.0,26000.0,12,6,25,2020,5000000000,-1,11
Social,14667249,4.2,-1.0,-1.0,0.0,0.0,12,6,23,2020,1000000000,-1,9
Communication,3729252,4.2,-1.0,93.0,0.0,0.0,3,6,25,2020,500000000,4.0,1
