Genre,Number of Reviews,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
28,93091,25.0,2,249.0,249.0,3,8,13,2019,10000000,11,0
8,5015,6.6,6,0.0,0.0,3,12,25,2019,500000,12,0
14,137,5.4,2,0.0,0.0,3,6,30,2019,10000,14,0
17,4316,8.4,2,0.0,0.0,3,6,27,2020,100000,14,0
27,1102,14.0,4,0.0,0.0,3,3,5,2019,50000,10,1
37,93306,16.0,11,10.0,299.0,3,6,2,2020,10000000,9,2
18,26,14.0,2,0.0,0.0,3,10,30,2019,1000,14,0
15,23,18.0,4,0.0,0.0,3,6,21,2020,10000,13,0
14,566,5.8,5,0.0,0.0,3,12,4,2018,100000,10,0
39,2232324,10.0,8,0.0,0.0,3,6,13,2020,100000000,9,0
11,563055,-1.0,0,10.0,14000.0,3,6,26,2020,50000000,0,0
25,5,7.7,5,0.0,0.0,3,6,15,2020,1000,16,0
7,164603,12.0,6,60.0,130.0,3,12,26,2017,10000000,5,3
14,867,18.0,14,0.0,0.0,3,5,25,2020,10000,16,3
36,565866,30.0,2,71.0,11600.0,18,6,16,2020,10000000,13,8
29,329105,6.7,4,60.0,650.0,3,6,25,2020,10000000,11,4
19,5,3.9,4,0.0,0.0,3,7,16,2018,500,11,0
12,1506346,-1.0,0,75.0,26000.0,18,6,24,2020,100000000,0,8
38,230955,-1.0,2,10.0,7900.0,7,2,26,2018,10000000,10,3
15,268825,-1.0,0,10.0,850.0,12,4,20,2020,10000000,0,3
2,1254,-1.0,2,85.0,1250.0,12,4,4,2020,100000,11,0
0,947045,-1.0,6,79.0,3999.0,12,6,22,2020,10000000,14,3
16,298678,31.0,4,0.0,0.0,3,5,15,2020,10000000,13,0
16,223,7.3,2,0.0,0.0,3,1,4,2020,100000,13,0
28,10313,24.0,9,0.0,0.0,12,7,26,2019,1000000,9,0
27,61,37.0,5,45.0,2750.0,16,4,22,2020,1000,16,0
39,44070,12.0,5,55.0,790.0,3,5,9,2019,1000000,11,0
3,39,15.0,4,0.0,0.0,3,10,25,2018,10000,14,0
25,1225,5.2,2,0.0,0.0,3,6,1,2015,100000,4,0
25,3858,4.3,2,0.0,0.0,3,2,27,2017,500000,9,0
28,196,9.5,2,0.0,0.0,3,4,24,2020,1000,12,0
21,3248,23.0,2,0.0,0.0,3,6,7,2020,100000,14,0
39,42,13.0,2,0.0,0.0,3,10,1,2019,5000,14,5
33,3451,-1.0,0,800.0,15000.0,16,11,13,2018,500000,10,2
31,1390081,11.0,6,60.0,850.0,3,5,5,2020,100000000,11,2
31,479,48.0,2,0.0,0.0,3,6,10,2020,500000,11,3
14,147,6.4,2,0.0,0.0,3,10,4,2015,10000,4,0
